;;;;;;;;;;;;;;x,,,
EVTDESC222206;Civil War in France - Monarchists and Republicans have now gone to war as it becomes clear that no agreement could be reached. The Revolutionaries within our realm have armed themselved and support the French Republic, rallying against our forces..;;;;;;;;;;;;;x
EVTOPT222206A;The Republicans overwhelm the nobility!;;;;;;;;;;;;;x
EVTOPT222206B;The Revolt is put down!;;;;;;;;;;;;;x
EVTNAME222207;Join the Revolution?;;;;;;;;;;;;;x
EVTDESC222207;Civil War in France - Monarchists and Republicans have now gone to war as it becomes clear that no agreement could be reached. The Revolutionaries within our realm have armed themselved and support the French Republic, rallying against our forces..;;;;;;;;;;;;;x
EVTOPT222207A;The Republicans overwhelm the nobility!;;;;;;;;;;;;;x
EVTOPT222207B;The Revolt is put down!;;;;;;;;;;;;;x
EVTNAME10010104;The Future of Sardinia;;;;;;;;;;;;;x
EVTDESC10010104;The newly established Neapolitan Republic has invited us to join the Sicilian Federation. As a sister republic of Naples, many feel that we should accept this offer and align ourselves with the rest of Italy. However, we can just as well safeguard our independence and find our own destiny in this world.;;;;;;;;;;;;;x
EVTOPT10010104A;We value our ideals;;;;;;;;;;;;;x
EVTOPT10010104B;We value our independence;;;;;;;;;;;;;x
EVTNAME3021840;The Crisis of the Zhou;;;;;;;;;;;;;x
EVTDESC3021840;The Chinese Empire under the ruling Zhou Dynasty has enjoyed great prosperity for the past 167 years. But as time moves on, old agreements and power structures have led to widespread corruption and an extremely decentralized state. Wu Sangui's victory over the Qing was only possible with the aid of the Yue, Hui and Oirats, leaving them many freedoms and privileges that undermine the imperial administration for decades now. Furthermore, the continued existence of the Tungning state in Taiwan keeps delegitimizing the Zhou Mandate and might act as a catalyst for a greater crisis. If not taken care of, the mighty Zhou might face their downfall soon...;;;;;;;;;;;;;x
EVTOPT3021840A;The Mandate is ours.;;;;;;;;;;;;;x
EVTNAME9141503;The Fall of Malacca!;;;;;;;;;;;;;x
EVTDESC9141503;The City of Mallaca has fallen. With the central authority in shambles, regional war lords and sultans have taken up the responsibility of restoring order to the sultanate. While Cymric dominance over the area fades as quickly as it has emerged, the division and instability that follows the break up will have a profound impact upon the trade and prosperity of the region. What the future holds for Malaysia, remains unknown...;;;;;;;;;;;;;x
EVTOPT9141503A;Johor will restore order!;;;;;;;;;;;;;x
EVTNAME130001;The Khmu Uprising!;;;;;;;;;;;;;x
EVTDESC130001;Vientiane has been a troubled kingdom ever since the division of Lan Xang. Following the initial separation in 1707, Champassak seceded from the kingdom in 1713 after a successful revolt. Bureaucratic stagnation, high taxation of the natives, warfare with its neighbours and an ever growing Siamese threat, combined with the laotian push to assimilate the various tribal groups have finally led to a peasant uprising in the countryside. If not dealt with, this might very well mean the end of the Kingdom of Vientiane.;;;;;;;;;;;;;x
EVTOPT130001A;Vientiane falls to the rebels!;;;;;;;;;;;;;x
EVTOPT130001B;The Rebellion is crushed!;;;;;;;;;;;;;x
EVTNAME10010101;The Ambrosian invasion of Montferrat;;;;;;;;;;;;;x
EVTDESC10010101;After the Ambrosian Revolution, the captains of the new republic sought to incorporate the Duchy of Montferrat. This has however sparked a massive wave of nationalist sentiment across the small nation, with people openly calling for resistance to the invader. While war seems to be the only way to retain independence, the unequal balance of strength makes it look like a pointless wast of human lives, which could be avoided with a painful but necessary capitulation.;;;;;;;;;;;;;x
EVTOPT10010101A;There is no way we can prevail.;;;;;;;;;;;;;x
EVTOPT10010101B;War it is, then!;;;;;;;;;;;;;x
EVTNAME121220;The Sofian Council;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC121220;As the recently ignited Ionian Revolution ravages through our coastal lands, it effectively leavt our european possession in anarchy. This led to a provisional government being proclaimed in Sofia - while still unorganized, if we don't crush the Ionian Revolt soon, this may very well escalate into yet another conflict and a possible civil war within our realm.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA121220;Ji bo împaratorî!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME121221;The Bulgarian Secession;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC121221;As anarchy reigns supreme in the balkans, the bulgars have now managed to gain full control of our european possessions. With our administration gone, the only way to regain control is through military means. Already are the bulgars assembling an army, preparing to fiercly resist and defend their newly won independence!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA121221;The Empire is indivisable!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTB121221;Towards the glory of Bulgaria!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME121224;The Ionian Revolution!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC121224;These are dire times for the Roman Sultanate. As nationalist and liberal agitation divides europe, our empire too suffers from internal divisions. What started as a minor uprising in Ionia against the Sultan's autocratic rule quickly escalated into a republican and anit-roman revolution. While the region of Pontus has been pacified, our divided attention left much of Rum proper to the revolutionaries. It is uncertain how the Venetians or the Moreans will react to this recent development, but one thing is certain: If we fail to contain this revolt, this uprising could quickly spiral out of control and bring about the end of the Roman Sultanate.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPTA121224;Allah is with us!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME131140;Aromanian Schooling Proposal;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC131140;The Romanian government came forth with a proposal to establish schools in our territory for the local Aromanian minority. While accepting the proposal would give us the chance to increase the literacy of our subjects, this could just as well lead to the development of a sense of nationality that could have unforeseen consequences on our national integrity. Refusing the proposal however would severely hurt our relations with Romania.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT131140A;Give it a go.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT131140B;They are better off learning Greek instead!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME131141;Aromanian Schooling Proposal Refused!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC131141;The proposal we've sent fell upon deaf ears. They refused us to educate the Aromanians, probably with the intention of further marginalizing and oppressing them!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT131140A;Damnit;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME194500;The Illyrian Spring;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC194500;The Illyrian Movement is a pan-slavic movement that emerged in the early 19th century spearheaded by the intellectual elite of Zagreb. While initially just a minor academic circle, it has gained widespread support amongst leading Croats, Serbs and Slovenes following the Spanish Revolution. Leading Illyricists argue for the unification of Croatia and Serbia to secure our future, however, there is also a smaller fringe of Illyricists who argue that in fact, all south slavs count as one nation and must be united under a single yugoslav state.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT194500A;We shall be the vanguard of the Illyrians!.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT194500B;We shall be the vanguard of the Yugoslavs!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME194501;The Illyrian Revolution;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC194501;The disintegration of Anatolian authority in the balkans has led to widespread revolutionary activity in the region. Within the Belgrade Governate, various nationalist figureheads have called for open revolt against the Shah and demand the immediate unification of Serbia with Croatia to form a united Illyrian Kingdom. It remains to be the seen how the Croatian King will react to these developments.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT194501A;Towards Illyria!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT194501B;We cannot risk a war with the Shahdom!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME194502;The Unification of Illyria;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC194502;The Illyrian government has sent us a proposal that would merge Serbia and Illyria into a single Illyrian Kingdom. While this country would give is a better chance of survival we would effectively give up our national sovereignty.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT194502A;At last we are one!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT194502B;To hell with Illyria, Serbia shall remain free!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME194503;The Serbians Refuse!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC194503;The Serbian government has refused our generous proposal of unification. While they are clearly deluded, bringing them into the fold by force could lead to unforseen consequences.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT194503A;Let them be.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT194503B;We will not back down now!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME194504;The Unification of Illyria;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC194504;The Illyrian government has sent us a proposal that would merge Hercegovina and Illyria into a single Illyrian Kingdom. While this country would give is a better chance of survival we would effectively give up our national sovereignty.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT194504A;At last we are one!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT194504B;To hell with Illyria, Hercegovina shall remain free!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME194505;The Hercegovinans Refuse!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC194505;The Hercegovinan government has refused our generous proposal of unification. While they are clearly deluded, bringing them into the fold by force could lead to unforseen consequences.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT194505A;Let them be.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT194505B;We will not back down now!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME192201;The Great Fire of Caerloyw!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC192201;What started as a minor fire in Aled's Bakery near Ysfael street at around 9 pm on sunday has quickly spread throughout much of the city, engulfing much of Rhun district by 9 pm on monday. From there, the fire managed to cross the Hafren, engulfing the districts of Ceri and Dafydd and forcing the government to relocate to Bryste. By Thursday, the fire has largely run its course, leaving over 80% of the city in ruins. A bigger disaster than the Great Fire of Lerpwl in the year of 1624, the remaining administration of Caerloyw requires immediate assistance to help manage the flood of refugees and rebuild the city as fast as possible.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT192201A;A tragedy! They will have our aid.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT192201B;Stuff breaks, people die.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME192206;The Grand Capitol;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC192206;In the aftermath of the Great Fire of Caerloyw, talks have arisen within the government to permanently relocate parliament to a different city. With the City of Caerloyw being reconstructed for many years to come, many have adviced to move the seat of government to Aberlune, the historical center of Urien's Kingdom of the North and a symbolic city for the people of Ystrad Clud. Hosting a large port and direct access to the Irish Sea, it will make it easier for us impose our authority over our Irish possessions. Alternatively, there are strong points to move the capital to Llundain, located on the Tafwys River. It used to be the heart of the Anglian and Norse Kingdoms and would make it easier for us to manage our Germanic subjects in the east. Lastly, simply moving back to Caerloyw might be the easiest thing to do.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT192206A;Caerloyw will always be our capital.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT192206B;Llundain will make for an excellent new capital.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT192206C;The Hen Ogledd shall be the center of Prydain once more!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME191822;The Baltic Uprising;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC191822;As the spirit of nationalism and liberalism keeps on spreading throughout europe, it seems to now have finally reached the Baltics as well. Having been pacified in 1295 following the final Prussian uprising, the Hansa gradually expanded North East, culminating in the 1411 partition of Lithuania between the League, Poland and Ruthenia. However, the native Baltic populace has taken up arms against German rule once more, this time under the leadership of the Latgale and Lithuanians. Though Curonia and Estonia remain loyal to the League, this war may very well determine the future of the Baltics as a whole.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT191822A;It's time for another Baltic crusade!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT191822B;For the freedom of Latgale and Latvija!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT191822C;For the glory of the Grand Duchy of Lithuania!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME191833;The Estonian Secession;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC191833;Taking advantage of the chaos in the Baltics, a group of Estonian nationalists, supported by Finnish volunteers, have successfuly seized Tallinn and proclaimed the Estonian Republic! Although this new state doesn't have popular support amongst the peasantry, the Estonian nobility and clergy have given their support for this new state. This seems like the end of the Baltic Federation.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT191833A;Prussia will restore order to these lands!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT191833B;For the freedom of Estonia!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME101917;The Comintern;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC101917;Workers of the world! The proletariat has seized the Russian state and has now fully dedicated itself towards the liberation of our fellow workers abroad. No longer shall the working class be subject to the terror and exploitation of the Ancien Régime and Bourgeoisie! The Comintern will lead the communist movement from now on and guide us towards the kingdom of liberty!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT101917A;Russia will show you the way!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME101918;Comintern Influence;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC101918;The communists in Russia have declared that they will do anything in their power to overthrow our government. The free nations of the world must stand together and fight against the communist outbreak that tries to undermine us. We must not allow for this bolshevik chaos to spread abroad.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT101918A;Our people surely won't fall for this nonsense;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME101919;Join the USSR?;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC101919;We have been offered a membership in the USSR by the supreme soviet of the union. Joining would certainly strengthen the international cause of the proletarian, however, our nation would fully give up its independence and submit to the new central authority of a foreign nation.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT101919A;We would prefer to remain independent;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT101919B;Workers of the world, unite!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME015566;Ionian Revolution reaches Morea!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC015566;As the civil war in anatolia rages on, the ideals of the Ionian Revolution seem to have taken roots within our nation now as well. Dissatisfied with the autocratic government many of our peasants have begun to rise up in the country side, refusing to pay taxes which in turn only worsens our already disfunctional economy. Following the widespread unrest, a group of liberals has taken it upon themselves to "restore order" to the nation, promising reforms and the unification of all greeks into a single country. If we don't act quickly, this revolution could very well lead to the final collapse of the roman empire.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT015566A;Dissolve their government and execute the traitors!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT015566B;We must accept their legitimacy. Long live Greece!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT015566C;The Imperium is no more - Long live the Republic!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME025566;The Hellenic Constitution;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC025566;Following the collapse of the empire, the new parliament has effectively taken control over most of hellas. The themes, while still largely independent, acknowledge the recent events and recognize our government as legitimate, showing their dedication towards the cause of unifying all of greece. The constitution that parliament has put forth is clearly inspired by the Spanish Declaration of the Republic, having a distinct Liberal character. Once accepted the Roman Empire would cease to exist - instead a new Greek Federation would rise in its place.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT025566A;This is a new beginning for Greece.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME035566;Order Restored;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC035566;It took many weeks but the final pockets under Ionian control have finally been recaptured. The themes have reported that they are once again in full control of their respective territories, bringing an end to the off-spring of the Ionian revolution that has plagued our empire. With parliament crushed and imperial authority restored, we have now once again a legitimate claim to all our territories.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT035566A;Long may the empire live.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME045566;Rejoin Greece?;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC045566;The greek authorities have proposed a reform of the theme system. Said proposal would put all themes under direct control of the government and officials would from now on be elected to represent the interests of each theme in the newly formed parliament. We would effectively give up our authority and be fully integrated into Greece.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT045566A;For Democracy and Hellas, we accept.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT045566B;We are better off on our own!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME055566;Reform the Themes?;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC055566;The morean authorities has proposed a reform of the theme system. Said proposal would put all themes under direct control of the government and officials would from now on be appointed directly by the emperor, effectively removing us from governing ourselves.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT055566A;For the Empire and Hellas, we accept.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT055566B;We are better off on our own!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME065566;The Cult of Athena;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC065566;These are hard times for Greece. The once great empire is no more, reduced to a decentralized rump state centered in Mystras. Poverty, war and revolutionary unrest left many people disillusioned. In these harsh times people abandon God or even worse: adopt heretical beliefs. Many think that our current situation is a punishment by the old Gods for following a false faith. While just a minor cult as of right now, it has found widespread support amongst the aristocrats and higher ups of our theme. If we don't act soon, this blatant heresy could spread across the entirety of greece...;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT065566A;There is only one God!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT065566B;Maybe the old Gods will help us...;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME21123333;Fate of the Andes;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC21123333;With the Kingdom of Spain being no more, the authority of the empire has effectively ceased to exist. While we do not recognize the authority of the new Spanish Republic, the absence of a king seriously undermines our legitimacy as a nation. Monarchist have proposed to crown the current viceroy to reign as emperor over the andes. Alternatively, republicans within our nation urged us to recognize the Spanish Republic and to embrace the Pan-Colombian ideals in hope of ending the current war.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT21123333A;Proclaim the Picchunic Empire!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT21123333B;Proclaim the Peruvian Republic!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME22112299;Rise of Khmeria;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC22112299;For too long has our mighty nation been subject to foreign empires. The time has come to reform our pity kingdom and to re-establish the old empire. We must bring all Khmer outside of our lands back into the fold and establish ourselves as a permanent nation in Indochina. Only then can we begin to take the first steps towards reuniting the old empire.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVT22112299OPTA;Very well;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME10010100;The Second Ambrosian Republic;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC10010100;Following the Spanish Revolution many republicans of Milan, joined by a large crowd of unhappy peasants, took it to the streets to protest against the autocratic government despite the ban on public meetings. When the police forces tried to dissolve the gathering, the violence escalated and the angry crowd stormed the duke's palace, publicly hanging the royal family and many of their loyalists. Following these events a provisional government of twelve "Captains and Defenders of Liberty" was elected, proclaiming the Second Ambrosian Republic. Although just a minor republic in northern Italy, many patriots and republicans see this as the first step towards a unified Italian state.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT10010100A;Lunga Vita alla Rivoluzione;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME90010900;Ratify the Declaration of Independence;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC90010900;Although many initially doubted that Colombia could survive as an independent nation, we have now managed to push the Spanish out of Venezuela and Central Colombia, even occupying Quito and Panama. Our brave army now marches into the Andes and Brazil, fighting for the liberty of our brothers. Let us ratify our declaration of independence by the new congress and show the world that we are a true and free nation in this world!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT90010900A;¡Por el triunfo de la Unión!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME90020900;The Colombian Constitution;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTDESC90020900;It took many months but the Congress of Caracas finally proposed the final draft of the constitution. This constitution would guarantee a free press, freedom of assembly, universal voting rights and equality between all states of the union. This constitution would certainly boost the morale of our people, however, many high ranking officials and conservatives fear that accepting the constitution during times of war could lead to unwanted internal unrest and instead propose to delay the ratification post-war.;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT90020900A;Colombia must be free!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTOPT90020900B;Colombia must be glorious!;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
EVTNAME466466;Death of a Dream;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
